Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,Sector,CMP / BV,ROA 12M  %,Debt / Eq,ROE  %,Prom. Hold.  %,Earnings Yield  %,Pledged  %,Ind PE,EV  Rs.Cr.,No. Eq. Shares  Cr.,B.V.  Rs.,Inven TO,Quick Rat,Export  %,Piotski Scr,G Factor,Asset Turnover,Leverage,Unpledged Prom Hold  %,ROIC  %,Debtor days,Ind PBV,Credit Rate,WC Days,BEP  %,Graham's Number  Rs.,Cash Cycle,Days Payable,Days Receivable,Inventory Days,Public Hold  %,FII Hold  %,Chg in FII Hold  %,DII Hold  %,Chg in DII Hold  %
Gabriel India,318,32.18,4567.88,0.8,42.49,29.11,805.77,11.77,21.95,Auto Ancillaries,5.25,9.51,0.01,16.15,55,4.4,0,30.92,4471.6,14.36,60.58,10.63,1.23,0,9,4,2.14,1.6,55,17.69,47.13,3.41,,29.35,13.77,116.06,12.44,70.86,47.13,36.17,31.35,2.69,-0.22,10.96,-0.12
Harsha Engg Intl,446.85,31.83,4068.31,0.22,29.76,-1.85,256.16,-16.91,17.8,Auto Ancillaries,3.62,10.63,0.08,15.18,74.61,4.44,0,30.92,4037.76,9.1,123.42,1.85,2.61,48.18,4,2,0.85,1.08,74.61,14.24,77.89,3.41,,211.58,13.25,197.46,224.05,50.48,77.89,196.64,13.56,1.81,-1.93,10.02,-1.35
Pricol Ltd,332.65,31.54,4054.39,0,31.94,55.12,537.21,20.68,20.06,Auto Ancillaries,5.76,9.36,0.16,18.29,38.51,4.12,0,30.92,4080.78,12.19,57.78,5.49,0.73,7.92,8,4,1.56,1.78,38.51,16.41,49.9,3.41,,22.68,12.87,120.46,46.99,75.12,49.9,72.21,53.02,2.89,-0.78,5.58,-0.98
Steel Str. Wheel,249.45,20.2,3904.22,0.4,47.6,-1.1,1044.4,2.79,21.4,Auto Ancillaries,3.44,7.07,0.56,18.58,62.68,8.45,13.88,30.92,4498.47,15.65,72.5,4.01,0.37,7.26,5,5,1.47,2.42,53.98,13.94,31.5,3.41,,35.8,13.67,141.93,36.86,95.21,31.5,100.57,30.45,5.63,0,1.23,0.4
Shanthi Gears,492.15,52.64,3775.57,1.02,18.12,34.82,121.45,22.86,32.14,Auto Ancillaries,12.49,18.62,0,23.79,70.47,2.62,0,30.92,3685.49,7.67,39.41,3.44,2.22,0,8,5,1.24,1.19,70.47,29.39,55.79,3.41,,55.87,25.57,91.06,94.85,74.38,55.79,113.43,25.11,3.73,0.03,0.68,-0.16
Banco Products,515.25,13.66,3685,4.27,68.81,98.93,749.36,27.98,25.83,Auto Ancillaries,3.68,14.1,0.42,23.87,67.88,8.94,0,30.92,4084.24,7.15,140.03,1.62,0.71,0,4,7,1.39,1.68,67.88,17.16,64.72,3.41,,165.53,19.68,344.76,240.95,95.23,64.72,271.45,30.23,1.87,-0.01,0.02,-0.01
Automotive Axles,2232,19.9,3372.55,1.43,37.83,24.44,531.91,6.34,30.81,Auto Ancillaries,4.44,14.69,0.04,23.43,71.04,6.86,0,30.92,3354.13,1.51,502.46,7.91,1.75,0,8,4,2.11,1.45,71.04,21.52,78.32,3.41,,73.76,19.9,1125.91,59.64,69.14,78.32,50.46,15.81,0.7,-0.03,12.47,-1.06
L G Balakrishnan,1059.25,13.64,3325.24,1.51,55.45,12.09,538.61,3.39,24.19,Auto Ancillaries,2.44,13.22,0.08,18.95,33.86,10.92,0,30.92,3081.92,3.14,434.92,2.67,1.47,0,6,6,1.23,1.31,33.86,20.7,45.12,3.41,,55.96,17.97,881.18,112.86,74.63,45.12,142.36,44.64,8.77,-0.4,12.73,1
JTEKT India,135.55,41.83,3313.93,0.37,18.66,-25.58,477.52,1.23,16.52,Auto Ancillaries,4.72,8.54,0.09,12.43,73.98,3.48,0,30.92,3319.09,24.45,28.75,8.66,1.21,0,9,2,1.97,1.48,73.98,12.13,50.1,3.41,,40.24,10.69,47.22,43.35,55.59,50.1,48.83,18.04,0.32,-3.52,7.68,3.13
Sharda Motor,1016.45,14,3022.07,1.7,55.09,23.22,654.1,4.19,39.08,Auto Ancillaries,3.87,16.4,0.03,29.74,73.2,10.11,0,30.92,2885,2.97,262.96,12.9,1.53,0,6,7,2.16,1.6,73.2,27.83,44.81,3.41,,48.75,20.64,655.34,-7.77,87,44.81,34.42,25.34,1.22,0.11,0.24,0.24
Divgi Torq,938.05,56.08,2868.83,0.36,10.43,-14.65,56.57,-11.01,15.48,Auto Ancillaries,5.2,9.7,0,11.48,60.49,2.7,0,30.92,2560.02,3.06,180.26,3.35,4.65,0,5,3,0.51,0.96,60.49,11.08,98.63,3.41,,49.05,10.71,260.47,66.16,151.26,98.63,118.78,10.2,3.09,2.01,26.22,-2.26
Uniparts India,634,18.09,2861.48,2.25,47.45,23.12,178.69,-21.41,37.27,Auto Ancillaries,5.74,24.29,0.03,33.26,65.66,6.89,0,30.92,2846.93,4.51,110.48,2.84,2.09,0,9,5,1.51,1.24,65.66,33.89,50.65,3.41,,86.5,31.89,295.2,141.49,51.33,50.65,142.17,16.46,5.48,-1.15,10.87,-0.03
Subros,411.35,53.85,2683.47,0.24,13.56,16.39,693.21,-2.16,8.82,Auto Ancillaries,3.09,3.11,0.02,5.6,36.79,3.06,0,30.92,2613.75,6.52,132.94,6.66,0.53,0,7,2,1.84,1.76,36.79,6.69,27.06,3.41,,-4.44,5.19,151.16,1.59,82.95,27.06,57.48,18.15,32.59,-0.03,12.46,-0.84
Fiem Industries,2004.65,18.04,2638.09,1.5,35.5,21.95,474.61,6.76,26.61,Auto Ancillaries,3.47,13.3,0.03,19.92,66.56,8.26,0,30.92,2478.8,1.32,578.41,6.6,1.53,0,8,6,1.76,1.38,66.56,18.33,27.81,3.41,,22.95,19.44,1202.5,31.22,53.27,27.81,56.68,28.68,3.94,0.02,0.81,0.01
NRB Bearings,268.25,26.6,2599.95,1.53,18.99,-7.5,272.02,15.21,16.72,Auto Ancillaries,3.89,9.08,0.49,16.14,50.24,5.53,0.62,26.25,2845.72,9.69,68.94,1.24,0.88,28.44,8,5,0.92,1.71,49.93,12.87,76.84,3.72,,169.04,13,119.08,291.87,115.45,76.84,330.48,16.73,21.85,0.56,11.18,-0.31
Lumax Auto Tech.,376.05,25.94,2563.07,1.2,30.09,1.47,631.71,49.72,16.57,Auto Ancillaries,3.87,6.95,1,15.94,55.98,6.31,0,30.92,3070.41,6.82,97.07,8.9,0.96,0,5,3,1.11,2.51,55.98,9.59,91.11,3.41,,29.73,8.89,172.82,22.8,117.69,91.11,49.38,18.94,18.24,-0.78,6.85,0.43
Precision Camshf,260.3,53.51,2472.48,0.38,4.11,-1.91,262.77,9.49,8.3,Auto Ancillaries,3.45,4.24,0.14,6.55,65.37,2.81,0,30.92,2509.14,9.5,75.44,2.77,0.83,0,8,2,1,1.51,65.37,9.39,69.7,3.41,,61.6,6.39,90.87,143.7,96.65,69.7,170.65,34.46,0.07,0.04,0.12,0.12
GNA Axles,545.55,17.18,2342.09,1.1,33.16,22.59,374.02,-0.31,21.61,Auto Ancillaries,3.27,11.77,0.26,19.88,68.14,7.76,4.79,30.92,2500.86,4.29,166.61,5.58,1.48,59.86,8,5,1.43,1.55,64.88,16.17,129.34,3.41,,120.58,16.59,345.17,116.48,78.3,129.34,65.44,19.48,1.05,-1.12,11.32,-0.59
Sandhar Tech,387.5,28.33,2332.39,0.65,21.51,68.56,828.91,22.78,8.71,Auto Ancillaries,2.53,3.48,0.72,8.01,70.38,5.1,0,30.92,2991.65,6.02,152.92,6.91,0.61,0,8,5,1.41,2.24,70.38,6.87,44.59,3.41,,30.74,7.09,216.08,22.51,82.27,44.59,60.19,11.01,1.65,0.74,16.96,0.44
Lumax Industries,2286.45,19.54,2137.83,1.18,23.12,14.23,618.44,20.8,19.22,Auto Ancillaries,3.66,6.21,0.74,19.72,75,7.56,0,30.92,2560.99,0.93,624.3,4.71,0.43,1.53,9,4,1.36,2.92,75,15.07,48.18,3.41,,13.25,10.38,1264.35,2.79,140.92,48.18,95.52,22.84,1.12,0.28,1.03,0.41
SJS Enterprises,699.7,35.57,2129.74,0,16.28,7.18,82.93,12.78,19.87,Auto Ancillaries,5.09,13.09,0.05,15.19,51.33,3.85,0,30.92,2122.86,3.04,137.37,3.86,1.47,10.64,6,3,0.66,1.08,51.33,26.17,67.91,3.41,,66.64,16.73,246.59,106.27,67.98,67.91,106.34,30.74,5.32,-0.28,12.6,-0.81
Federal-Mogul Go,364,18.27,2024.93,0,31.18,50.13,410.9,2.27,15.7,Auto Ancillaries,2.07,7.65,0.01,10.95,74.98,9.24,0,30.92,1703.19,5.56,176.09,3.92,1.62,0,9,4,1.16,1.44,74.98,11.79,60.83,3.41,,24.82,10.58,280.99,-21.41,192.15,60.83,109.9,23.09,0.49,0.31,1.43,0
Igarashi Motors,584.05,169.12,1838.3,0.17,1.43,134.05,168.25,17.98,3.99,Auto Ancillaries,4.18,0.75,0.27,1.19,75,1.5,0,30.92,1953.7,3.15,139.65,4.73,0.87,0,7,4,0.94,1.6,75,2.32,97.63,3.41,,89.72,4.04,104.17,93.5,95.01,97.63,90.88,22.36,0.24,0.16,2.4,0.46
Wheels India,725.65,32.82,1746.24,0.96,8.77,-9.77,1207.37,6.5,10.89,Auto Ancillaries,2.29,1.81,1.03,7.22,58.73,7.05,0,30.92,2526.93,2.41,317.55,4.37,0.5,0,6,1,1.55,3.92,58.73,9.33,65.07,3.41,,34.3,5.92,414.15,30.93,124.11,65.07,89.97,,,,,
RACL Geartech,1279.8,34.34,1379.83,0.12,8.78,45.12,88.44,13.05,21.85,Auto Ancillaries,8.24,9.58,1.21,25.51,53.35,4.77,0,30.92,1580.48,1.08,155.34,1.75,0.59,69.78,8,5,0.9,2.37,53.35,14.44,86.09,3.41,,141.21,16.97,360.91,277.87,125.76,86.09,317.54,46.58,0.07,0,0,0
Alicon Cast.,851.7,27.37,1372.25,0.29,9.49,-11.88,354.06,3.12,12.46,Auto Ancillaries,2.81,4.92,0.62,11.02,55.71,5.54,0,30.92,1661.16,1.61,302.8,5.68,1.02,0,7,2,1.34,2.15,55.71,10.16,114.86,3.41,,89.42,8.46,460.45,80.52,112.71,114.86,78.37,35.68,0.09,-0.01,8.51,-0.01
Talbros Auto.,1050.8,21.24,1297.74,0.29,17.42,46.39,182.83,19.52,19.21,Auto Ancillaries,3.53,9.02,0.24,16.5,58.42,6.5,0,30.92,1376.53,1.23,297.69,3.01,0.8,0,9,5,1.06,1.67,58.42,19.35,95.05,3.41,,85.89,13.65,575.71,57.22,175.6,95.05,137.77,41.57,0,0,0.02,0
Jay Bharat Maru.,285.45,35.62,1236,0.61,5.05,-34.59,533.17,-3.8,11.09,Auto Ancillaries,2.44,2.82,0.66,7.56,59.35,5.86,0,30.92,1565.25,4.33,117.01,9.15,0.29,0,9,3,1.79,2.59,59.35,6.79,12.8,3.41,,1.44,7.07,145.25,2.23,50.59,12.8,40.02,37.07,3.55,0.15,0.03,0
Rico Auto Inds,84.65,22.76,1145.31,0.89,5.71,-37.57,533.91,-5.23,9.62,Auto Ancillaries,1.66,2.79,1.09,7.83,50.34,6.75,0,30.92,1863.9,13.53,50.95,4.76,0.59,0,7,3,1.24,2.7,50.34,6.73,62.64,3.41,,42.09,6.5,64.42,33.77,104.32,62.64,75.45,47.72,1.95,0.81,0,0
Rane (Madras),662.5,24.58,1077.57,0,-14.47,189.63,588.34,7.11,12.16,Auto Ancillaries,4.46,2.69,2.76,14.77,72.65,6.7,0,30.92,1717.06,1.63,148.57,6.26,0.62,0,8,4,1.83,5.34,72.65,6.37,65.05,3.41,,50.48,8.53,196.72,40.59,91.34,65.05,66.89,27.25,0,-0.12,0.11,0.11
India Nipp.Elec.,474.6,19.97,1073.61,1.95,9.26,149.6,159.84,2.66,11.34,Auto Ancillaries,1.92,7.1,0.01,9.05,70.37,6.03,0,30.92,1054.44,2.26,247.7,8.76,1.3,5.65,7,3,0.97,1.21,70.37,21.38,66.45,3.41,,38.86,8.86,363.97,34.77,76.7,66.45,45.02,29.54,0.08,-0.01,0,0
Enkei Wheels,573.4,347.03,1030.68,0,8.04,277.48,176.69,10.84,6.78,Auto Ancillaries,4.59,0.8,0.89,1.84,74.97,1.96,0,30.92,1203,1.8,124.95,7.96,0.72,0,5,5,1.35,2.22,74.97,3.5,31.45,3.41,,29.8,4.36,68.16,40.44,58.39,31.45,67.38,25.02,0.02,0.02,0,0
India Motor Part,809.55,13.13,1010.32,2.96,17.55,22.73,190.26,3.32,6.13,Auto Ancillaries,0.74,4.48,0,4.94,30.71,9.65,0,30.92,994.08,1.25,1092.9,7.95,1.63,0,6,5,0.5,1.04,30.71,45.57,45.51,3.41,,55.22,6.41,1231.1,59.86,35.36,45.51,49.71,,,,,
Auto.Corp.of Goa,1545,33.49,940.69,1.13,10.1,31.85,150.99,6.56,14.3,Auto Ancillaries,4.86,8.22,0.37,14.11,49.77,3.78,0,30.92,983.12,0.61,318.14,8.01,1.68,0,6,3,1.63,1.61,49.77,9.79,58.48,3.41,,131.71,11.05,590.51,58.34,51.75,58.48,51.62,50.23,0.01,0,0,0
IST,764.55,8.72,891.78,0,36.93,125.73,28.54,1.49,10.19,Agro Chemicals,0.8,7.17,0.01,7.63,74.98,16.18,0,30.92,878.42,1.17,951.15,1.9,3.69,0.07,7,5,0.11,1.03,74.98,26.96,20.77,3.41,,141.27,12.01,1370.02,191.43,20.55,20.77,191.21,25.01,0,0,0,0
The Hi-Tech Gear,398,23.32,747.05,0.63,9.3,2413.51,263.5,-9.68,8.13,Auto Ancillaries,2.11,2.26,1.29,6.55,56.26,6.62,0,30.92,1124.47,1.88,188.85,5.34,0.84,0,8,4,1.18,2.8,56.26,5.76,65.13,3.41,,62.49,7.58,269.33,66.91,73.44,65.13,75.22,43.72,0,0,0,0
Z F Steering,819.9,22.95,743.65,0.61,11.97,139.4,120.87,9.59,8.66,Auto Ancillaries,1.77,5.24,0.1,6.32,67.18,5.97,0,30.92,784.34,0.91,462.43,5.27,1.35,0,6,4,0.92,1.17,67.18,9.77,86.75,3.41,,100.29,9.17,609.64,115.21,44.44,86.75,72.9,32.83,0,0,0.01,0
NDR Auto Compon.,553.9,20.4,658.73,0.45,8.24,103.46,127.63,102.46,16.62,Auto Ancillaries,3.02,9.7,0.15,14.08,73.95,6.71,0,30.92,640.93,1.19,183.13,9.91,0.96,0,6,6,1.32,1.36,73.95,17.6,28.9,3.41,,-12.27,12.51,334.38,-13.95,91.22,28.9,48.37,26.04,0.01,0.01,0,0
Automotive Stamp,405.35,56.3,642.89,0,3.83,417.57,219.16,4.82,41.3,Auto Ancillaries,,4.07,,,75,3.47,0,30.92,722.65,1.59,-17.24,14.77,0.35,0,9,2,4.07,-7.43,75,39.26,19.9,3.41,,-18.84,11.11,,-27.74,75.77,19.9,28.12,25,0,0,0,0
Hind.Composites,421.35,22.52,622.29,0.47,10.04,1.62,75.7,3.27,3.55,Auto Ancillaries,0.67,2.74,0,2.98,74.97,5.28,0,30.92,621.77,1.48,624.9,9.88,2.21,0,7,2,0.28,1.09,74.97,15.32,51.21,3.41,,86.91,3.28,512.88,-18.96,107.09,51.21,36.92,25,0,0,0.01,0
Rane Brake Lin.,781.3,18.38,603.93,3.2,5.18,-10.54,152.33,9.33,17.69,Auto Ancillaries,2.31,8.66,0,13.28,70.93,7.4,0,30.92,597.01,0.77,337.88,3.72,1.15,0,9,3,1.55,1.48,70.93,14.84,66.93,3.41,,61.16,11.81,568.4,96.74,70.68,66.93,100.49,25.53,0,0,3.56,0
Munjal Auto Inds,58.65,30.76,586.5,3.41,10.28,-0.4,508.58,5.75,8.9,Auto Ancillaries,1.53,1.93,0.73,5.96,74.81,6.35,0,30.92,855.16,10,38.43,9.7,0.78,0,6,4,1.78,2.9,74.81,6.42,80.44,3.41,,25.95,4.28,42.11,55.31,75.59,80.44,50.46,25.12,0.05,0.05,0.03,0
Sar Auto Prod.,1230,741.85,586.06,0,0.31,138.46,3.78,81.73,4.73,Auto Ancillaries,37.23,2.65,0.44,3.95,68.67,0.2,0,30.92,585.29,0.48,33.03,8.2,1.42,0,4,4,0.5,1.46,68.67,3.62,104.87,3.41,,109.28,4.81,35.11,75.64,92.44,104.87,63.2,26.71,0,0,4.63,0
Munjal Showa,141.65,15.41,566.53,3.18,12.76,150.2,287.87,-9.4,4.63,Auto Ancillaries,0.87,2.78,0,3.45,65.02,8.42,0,30.92,560.49,4,162.83,13.68,1.52,0,8,4,1.55,1.23,65.02,8.05,56.89,3.41,,42.85,5.82,201.58,36.08,48.55,56.89,27.74,33.45,1.53,0.27,0.01,-0.02
Galaxy Bearings,1479.15,25.9,470.37,0,3.48,176.19,28.94,61.77,31.19,Auto Ancillaries,6.32,18.58,0.05,23.97,54.97,5.21,0,26.25,474.34,0.32,234.15,3.24,2.4,0,6,6,1.38,1.15,54.97,24.82,90.45,3.72,,163.86,25.47,548.51,101.69,101.56,90.45,112.8,44.66,0,0,0.36,0
Shivam Autotech,32.7,,399.67,0,-12.6,-293.75,107.99,-8.19,3.24,Auto Ancillaries,3.17,-5.42,2.97,-25.06,74.8,1.16,0,30.92,773.23,12.22,10.3,2.04,0.29,0,4,2,0.73,4.62,74.8,3.58,64.34,3.41,,62.65,1.45,,95.46,148.04,64.34,179.16,25.19,0,0,0.01,0
Bharat Seats,126.6,17.54,397.52,1.11,4.67,31.18,252.75,2.04,17.6,Auto Ancillaries,2.72,6.2,0.45,15.77,74.59,7.69,0,30.92,462.04,3.14,46.61,22.27,0.62,0,6,5,3.02,2.37,74.59,12.55,33.52,3.41,,-2.6,9.93,86.99,-2.67,47.87,33.52,11.68,25.3,0,0,0.11,0
Menon Pistons,74.78,15.68,381.38,1.34,7.74,28.79,71.86,21.34,27.18,Auto Ancillaries,3.24,12.75,0.1,19.78,74.37,9.71,0,30.92,386.99,5.1,23.08,4.78,1.44,0,6,5,1.51,1.41,74.37,19.69,80.34,3.41,,71.11,21.56,51.61,113.65,53.32,80.34,86.63,25.61,0.04,0,0,0
Talbros Engg.,742.4,15.58,376.88,0.27,4.55,-45.11,96.62,-13.94,22.77,Auto Ancillaries,3.15,10.71,0.85,26.34,72.83,8.73,0,30.92,477.9,0.51,235.42,4.12,0.71,25.1,7,3,1.7,2.18,72.83,17.88,52.45,3.41,,69.87,15.18,502.4,100.36,52.48,52.45,100.39,27.16,0,0,0.02,0
Waaree Tech.,334,,359.66,0,-1.24,400,21.89,97.44,-10.59,Auto Ancillaries,32,-4.8,0.27,-9.25,60.42,-0.39,0,30.92,358.18,1.08,10.44,4.27,0.51,0,3,5,1.3,2.02,60.42,-8,3.72,3.41,,12.17,-4.28,,144.76,29.9,3.72,170.93,39.57,0,0,0,0
Autoline Industr,90.5,284.84,352.62,0,1.26,-16.75,149.39,-16.95,8.59,Auto Ancillaries,4.7,0.38,2.31,2.58,33.39,4.5,0,30.92,521.32,3.9,19.25,2.99,0.36,0,6,2,1.4,6.17,33.39,8.33,42.43,3.41,,71.94,5.34,34.56,109.28,55.51,42.43,122.36,54.28,0.03,0.03,12.31,0
Sintercom India,126.2,847.32,347.4,0,0.02,105.13,19.01,-3.16,3.65,Auto Ancillaries,3.49,-0.04,0.28,-0.07,69.75,1.15,3.65,30.92,374.71,2.75,36.21,1.04,0.66,0,6,4,0.5,1.64,67.21,-0.15,149,3.41,,141.63,2.5,11.02,356.22,270.12,149,477.34,,,,,
Jay Ushin,829.4,26.16,320.15,0.36,2.71,-28.12,162.29,-13.4,15.63,Auto Ancillaries,3.33,3.81,1.16,14.63,61.88,7.17,0,30.92,431.43,0.39,249.37,6.89,0.42,0,8,4,2.1,3.62,61.88,12.9,32.1,3.41,,17.43,8.62,421.56,25.55,62.57,32.1,56.01,38.08,0,0,0.02,0
PPAP Automotive,227.45,,318.43,0.66,-2.75,-574.14,116.45,-5.49,1.58,Auto Ancillaries,1.08,-1.16,0.51,-2.02,65.01,0.6,0,30.92,469.18,1.4,210.54,4.54,0.53,0,4,4,0.98,1.78,65.01,1.75,46.5,3.41,,50.28,0.51,,62.91,80.59,46.5,97,29.3,5.7,0,0,0
Ucal,141.2,,312.19,1.42,-4.85,-2008.7,184.31,-4.63,4.55,Auto Ancillaries,0.79,0.14,0.52,0.27,70.28,4.37,0,30.92,515.9,2.21,177.87,4.46,0.44,0,6,3,1.05,1.98,70.28,0.71,52.72,3.41,,28.67,2.88,,26.99,106.83,52.72,81.1,29.72,0,0,0.01,0
Uravi T & Wedge,253.25,320.21,278.58,0,0.62,14.81,8.76,-1.02,7.28,Auto Ancillaries,11.89,1.73,0.98,3.78,72.73,1.11,34.29,30.92,300.09,1.1,21.3,1.06,0.76,0,6,1,0.67,2.15,47.79,5.13,119.8,3.41,,301.06,6.48,19.47,409.63,76.58,119.8,366.41,27.28,0,0,0,0
Frontier Springs,687.8,37.95,270.99,0.15,1.86,-5.1,25.49,7.69,13.46,Auto Ancillaries,3.63,7.16,0.06,10.19,51.76,3.63,0,30.92,273.61,0.39,189.62,2.06,0.65,0,6,1,1.06,1.35,51.76,11.52,55.14,3.41,,71.02,9.03,278.11,96.96,169.55,55.14,211.36,48.23,0,0,0,0
Remsons Ind,426,31.71,243.25,0.35,1.95,-26.42,72.75,-8.56,15.47,Auto Ancillaries,5.76,4.65,1.95,22.11,75,5.86,0,30.92,310.29,0.57,73.97,4.29,0.71,0,9,1,1.71,4.32,75,10.13,63.83,3.41,,55.65,9.55,149.47,52.49,99.71,63.83,88.37,25.01,0,0,0,0
Kinetic Engg.,122.1,87.93,242.69,0,1.34,,31.94,,,Auto Ancillaries,8.46,,1.84,,54.68,3.13,0,30.92,292.53,1.99,14.43,,0.4,,2,0,,,54.68,10.83,78.66,3.41,,44.64,5.83,21.24,84.57,221.91,78.66,227.83,45.31,0,0,0.01,0
Shigan Quantum,132.1,58.91,227.41,0,-1.14,,53.44,,11.82,Auto Ancillaries,4.25,2.79,0.65,7.77,73.63,3.27,0,30.92,259.85,1.72,31.11,2.1,0.68,0,3,3,1.18,2.79,73.63,8.69,77.57,3.41,,87.2,6.7,39.62,114.58,136.88,77.57,173.89,26.17,0,0,0.19,0.19
Rane Engine Val.,308.3,20.96,223.04,0,1.74,222.33,138.01,20.1,7.48,Auto Ancillaries,2.1,-2.14,1.33,-7.2,58.32,7.06,0,30.92,352.36,0.72,146.7,2.74,0.67,0,7,5,1.5,3.2,58.32,-3.12,79.16,3.41,,84.29,7.06,147.52,101.69,132.2,79.16,154.73,40.77,0,0,0.55,-0.05
Sundaram Brake,513,,201.61,0,3.5,895.45,93.17,4.69,-0.57,Auto Ancillaries,2.36,-2.37,0.59,-5.43,65.54,1.46,0,30.92,251.34,0.39,217.07,4.75,0.72,0,4,4,1.76,2.36,65.54,-0.49,70.96,3.41,,72.6,1.78,,79.39,86.64,70.96,95.08,34.46,0,0,0,0
Atam Valves,188.1,25.77,198.41,0.53,0.84,3.7,10.4,39.78,42.97,Auto Ancillaries,7.94,26.49,0.29,42.61,68.26,5.15,0,30.92,205.36,1.05,23.7,2.35,1.72,0,6,5,1.69,1.16,68.26,25.14,148.43,3.41,,211.06,27.6,62.42,297.12,34.14,148.43,182.83,31.72,0.01,-0.56,0,0
Bharat Gears,124.75,22.72,191.55,0,-0.76,-117.67,170.48,-7.33,15.38,Auto Ancillaries,1.59,3.33,0.96,11.81,55.32,9.36,0,30.92,300.87,1.54,78.51,4.88,0.88,0,5,3,1.89,3.36,55.32,10.86,58.36,3.41,,50.63,6.92,98.48,29.68,117.92,58.36,89.25,43.19,1.45,0.18,0.03,0
Pritika Auto,21.2,14.03,187.99,0,5.29,-27.68,94.72,-1.33,12.85,Auto Ancillaries,1.17,4.9,0.59,9.87,48.55,11.67,0,30.92,267.26,8.87,18.19,3.27,1.07,0,8,4,1.13,1.99,48.55,8.07,98.1,3.41,,131.36,8.88,24.87,168.37,48.64,98.1,118.91,49.92,1.54,-0.01,0,0
Triton Valves,1790.55,,186.22,0.28,0.58,-17.14,106.14,17.55,1.08,Auto Ancillaries,2.6,-3.65,1.83,-11.39,52.85,1.14,0,30.92,316.27,0.1,687.79,3.77,0.47,28.8,4,3,1.53,3.32,52.85,1.04,54.16,3.41,,96.62,1.48,,105.26,46.15,54.16,97.24,47.13,0,0,0,0
IP Rings,145.65,,184.62,0.69,-1.22,-153.28,76.24,-3.62,6.09,Auto Ancillaries,1.66,0.58,0.91,1.6,56.58,3.11,0,30.92,280.03,1.27,87.56,2.27,0.61,0,6,2,1.05,2.78,56.58,4.65,85.41,3.41,,54.81,2.76,,-19.3,298.48,85.41,193.78,43.42,0,0,0,0
Jullundur Motor,79.6,6.9,181.81,2.51,4.78,-14.08,118.21,1.69,19,Auto Ancillaries,0.89,9.71,0,14,51,22.02,0,30.92,162.67,2.28,89.79,5.76,1.95,0,6,6,1.78,1.38,51,15.24,60.25,3.41,,103.97,12.18,152.66,63.99,65.42,60.25,69.15,,,,,
Samkrg Pistons,144.45,11.1,141.85,1.73,1.13,-62.71,54.47,-7.05,11.46,Auto Ancillaries,0.79,6.4,0.1,8.28,66.88,12.68,0,30.92,159.82,0.98,183.14,3.3,1.43,0,8,3,1.03,1.27,66.88,8.39,82.44,3.41,,120.77,8.62,231.57,198.67,22.53,82.44,138.76,33.11,0,0,0.01,0
Omax Autos,55.45,,118.61,0,-1.16,76.61,71.49,1.62,1.27,Auto Ancillaries,0.41,-4.63,0.42,-8.17,55.42,4.71,0,30.92,207.88,2.14,133.68,10.13,0.6,0,7,5,0.57,1.84,55.42,1.77,13.32,3.41,,-40.82,1.98,,-52.44,92.74,13.32,26.98,44.58,0,0,0,0
Setco Automotive,8.2,,109.69,0,-36.85,-10.39,145.17,-8.14,1.32,Auto Ancillaries,,-29.99,,,59.25,0.35,94.59,30.92,965.2,13.38,-32.2,2.53,0.35,0,5,2,0.9,-1.41,3.2,1.74,25.6,3.41,,41.83,0.58,,63.17,115.23,25.6,152.81,40.67,0.07,0,0,0
SAL Automotive,429.3,16.87,102.93,0.93,1.78,368.42,84.94,41.28,13.38,Auto Ancillaries,2.95,3.99,1.11,14.4,75,8.57,0,30.92,128.29,0.24,145.76,12.78,0.73,0,7,6,2.58,3.37,75,10.68,44.47,3.41,,19.85,8.44,288.86,5.94,74.69,44.47,36.16,20.56,0,0,4.44,0
Kranti Industrie,95.21,24.65,100.56,0,0.14,-88.98,25.87,5.85,9.7,Auto Ancillaries,3.67,3.04,1.18,8.31,74.34,6.35,0,30.92,130.29,1.06,25.95,7.36,0.48,0,7,4,1.38,2.47,74.34,7.01,33.2,3.41,,26.89,11.24,48.24,28.3,60.01,33.2,55.12,25.66,0,0,0,0
Him Teknoforg.,127.5,9.76,100.29,0.31,1.42,-42.97,98.46,-1.97,10.54,Auto Ancillaries,0.58,3.01,0.85,6.74,54.56,12.78,57.15,30.92,245.69,0.79,220.15,1.59,0.4,14.22,8,5,1.08,2.17,23.38,7.26,48.26,3.41,,146.61,8.27,246.13,222.35,60.19,48.26,234.28,44.69,0,0,0,0
Hindustan Hardy,440.65,13.17,66.1,0.5,1.61,274.42,16.4,16.98,25.57,Auto Ancillaries,3.56,10.94,0.21,22.63,66.16,10.74,0,30.92,67.62,0.15,123.72,6.68,1.42,0,7,6,1.82,1.87,66.16,18.93,113.12,3.41,,71.92,20.18,305.38,65.22,113.02,113.12,65.12,33.85,0,0,0,0
