Company Name,Count,Percentage Allocation,Asset Type,Symbol
Chemplast Sanmar Ltd.,2,0.88,Equity,CHEMPLASTS
Medplus Health Services Ltd.,1,0.88,Equity,MEDPLUS
HEG Ltd.,1,0.88,Equity,HEG
India Pesticides Ltd.,1,0.87,Equity,SBIN
Subros Ltd.,1,0.86,Equity,SUBROS
Apollo Tyres Ltd.,1,0.86,Equity,APOLLOHOSP
Adani Enterprises Ltd.,1,0.85,Equity,ADANIENT
Blue Dart Express Ltd.,1,0.84,Equity,BLUEDART
C.E. Info Systems Ltd.,1,0.84,Equity,EICHERMOT
Arvind Fashions Ltd.,1,0.83,Equity,ARVINDFASN
Prince Pipes & Fittings Ltd.,1,0.82,Equity,PRINCEPIPE
Centum Electronics Ltd.,1,0.79,Equity,CENTUM
RITES Ltd.,1,0.78,Equity,RITES
UTI Asset Management Company Ltd.,1,0.78,Equity,MARUTI
